cohort,session,model,source,source_sha256,imgsz,batch,precision,params_M_feature,median_ms,baseline,base_median_ms,ratio_vs_base,delta_vs_base_pct,ab_wins,engine,timer,warmup
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,dinov3:vits16plus,dinov3:vits16plus,114425a285f1c2538072ab5929edd14aaee7dc81a2e65fd64393f35671e7c173,224,1,fp16,28.69,1.5061,dinov3:vits16,1.3556,1.110943,11.09,0/8,dinov3:vits16plus-224-c2b0c516.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,tips:v2b14,tips:v2b14,beba5b8a6e5ebd9064881f80eb5756270c0c75ae58b3c0d3e9d1de9e7d4d6b45,224,1,fp16,85.73,3.4885,dinov3:vits16,1.3556,2.573267,157.33,0/8,tips:v2b14-224-f58b82f4.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,dinov3:convnext-small,dinov3:convnexts,38b71b4dd6f7c755d9c903fd353591085a467fe8327d156e272ffb7f6322f0e6,224,1,fp16,49.45,2.914,dinov3:vits16,1.3556,2.149522,114.95,0/8,dinov3:convnext-small-224-8213d70b.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,dinov2:vits14,dinov2:vits14,b3c940129e224e3736e5ed0f6265d58b746941311ee07c15618979ff6cb6dcb1,224,1,fp16,22.06,1.4951,dinov3:vits16,1.3556,1.102903,10.29,0/8,dinov2:vits14-224-6ac672f9.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,dinov3:vits16,dinov3:vits16,3510a76ddffda91da8b95482fc43b524ea513d4ccd7d7b765e647cfcecbe1c54,224,1,fp16,21.6,1.3556,dinov3:vits16,1.3556,1.0,0.0,,dinov3:vits16-224-0443587c.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,dinov3:convnext-tiny,dinov3:convnextt,b9f63ddddf786cb4e0fd91e5a8e4bec196cefa1f382c5b6da1997453559357cd,224,1,fp16,27.82,1.5295,dinov3:vits16,1.3556,1.128278,12.83,0/8,dinov3:convnext-tiny-224-d032fd9b.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,eupe:vits16,eupe:vits16,e9ce4e5a670156fe0ff363d93f7b988dcadcea90eda19fd6102297bc6aeec527,224,1,fp16,21.6,1.3717,dinov3:vits16,1.3556,1.011839,1.18,0/8,eupe:vits16-224-4c0b4efe.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,tips:v1b14,tips:v1b14,472ba9ed56889fbffa005982cb8a2de57d73c665646da22b20d81d3f462b1e29,224,1,fp16,85.73,3.4468,dinov3:vits16,1.3556,2.542581,154.26,0/8,tips:v1b14-224-0d4c63ff.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,tips:v1s14,tips:v1s14,32a4e90429b3029c660e15439b22d5bcf3488717d893acca697bebdab3bc3f2b,224,1,fp16,21.63,1.472,dinov3:vits16,1.3556,1.085826,8.58,0/8,tips:v1s14-224-2fccf8a3.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,mobileclip:s0,mobileclip:s0,44802eedf3f210c436869243b174a6215e372af8af9f22ec7e7c2eb2a82b9696,224,1,fp16,11.41,2.144,dinov3:vits16,1.3556,1.581492,58.15,0/8,mobileclip:s0-224-bf7c0dc0.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,mobileclip:s1,mobileclip:s1,ed604db039ccaaf833376c61dd3776cefd19df225a45054b7308f19577afd5b2,224,1,fp16,21.54,3.6992,dinov3:vits16,1.3556,2.728728,172.87,0/8,mobileclip:s1-224-899b75c8.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,mobileclip:s2,mobileclip:s2,36e449a8e94a20a4e46390a7b3ab57fafc4169277a1b3365efe8eaf5211f47de,224,1,fp16,35.82,4.536,dinov3:vits16,1.3556,3.346033,234.6,0/8,mobileclip:s2-224-e20e854b.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,mobileclip2:s0,mobileclip2:s0,139d0321b52488b5a7cebf8aae928c5519b9e0a95573d112c40c4899bc4df94a,224,1,fp16,11.41,2.0913,dinov3:vits16,1.3556,1.542618,54.26,0/8,mobileclip2:s0-224-3842e716.engine,sync-perf-counter,10
encoder_trt_only_w10_n100_r8,encoder-224-20260801-r3,mobileclip2:s2,mobileclip2:s2,1d42f66bb3b78f93fb599e3de84aa0588e78fbf2db241b11b64ed31ae508598e,224,1,fp16,35.82,4.5282,dinov3:vits16,1.3556,3.34028,234.03,0/8,mobileclip2:s2-224-91541241.engine,sync-perf-counter,10
