                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6359,                 3.9176,                 1.9587,                0.00667,                0.00842,                0.00347,                0.00094,                 2.1885,                 4.3081,                 1.4427,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.5076,                 3.9284,                 1.8417,                  0.005,                0.00632,                0.00254,                0.00093,                 2.2214,                 4.3007,                 1.4589,              5.703e-05,              5.703e-05,              5.703e-05
                      3,                 2.4567,                 3.7861,                 1.8159,                0.00667,                0.00842,                0.00338,                0.00102,                 2.2188,                 4.2805,                 1.4586,               9.01e-05,               9.01e-05,               9.01e-05
                      4,                 2.5801,                 3.9219,                 1.7828,                0.08947,                0.10737,                0.06567,                0.04546,                 2.2008,                  3.754,                 1.4423,             0.00011921,             0.00011921,             0.00011921
                      5,                 2.3169,                 2.9319,                 1.7649,                0.52332,                0.43158,                0.47442,                0.22206,                   2.06,                 1.3274,                 1.0912,             0.00014436,             0.00014436,             0.00014436
                      6,                 1.9828,                 1.3419,                 1.2775,                0.19833,                0.25053,                0.14135,                0.05083,                 2.5479,                 3.1613,                 1.1806,             0.00016555,             0.00016555,             0.00016555
                      7,                 1.7822,                 1.6959,                   1.27,                0.52274,                0.50526,                0.49615,                0.22249,                 2.0214,                 1.7568,                 1.0577,             0.00018278,             0.00018278,             0.00018278
                      8,                 1.8828,                 1.2297,                 1.2372,                  0.592,                0.47789,                0.48231,                 0.2302,                 1.9517,                 1.2234,                 1.0712,             0.00019605,             0.00019605,             0.00019605
                      9,                 1.9793,                  1.303,                 1.1776,                 0.6665,                0.53013,                0.51633,                0.23256,                 1.9285,                 1.4971,                  1.059,             0.00020536,             0.00020536,             0.00020536
                     10,                 1.9253,                 1.2161,                 1.2235,                0.66747,                0.55579,                0.53825,                 0.2489,                 1.8502,                 1.9375,                 1.0404,             0.00021071,             0.00021071,             0.00021071
                     11,                 1.7974,                0.95572,                 1.1655,                0.70019,                0.56632,                0.60551,                0.29097,                 1.8208,                 1.7957,                 1.0447,              0.0002121,              0.0002121,              0.0002121
                     12,                  1.676,                0.97265,                 1.0987,                0.64572,                0.60211,                0.59982,                0.28466,                 1.8115,                 2.2049,                 1.0384,             0.00020953,             0.00020953,             0.00020953
                     13,                 1.8285,                 0.9588,                 1.1241,                0.65455,                0.59835,                0.59315,                0.27345,                 1.8031,                 1.8841,                 1.0347,               0.000203,               0.000203,               0.000203
                     14,                 1.6651,                0.95071,                 1.2161,                 0.6609,                0.61958,                0.59651,                0.26817,                 1.8268,                 1.9265,                 1.0371,             0.00019251,             0.00019251,             0.00019251
                     15,                 1.7989,                 1.0265,                 1.1826,                0.67979,                0.61053,                0.61041,                0.28281,                   1.88,                 1.8276,                 1.0521,             0.00017806,             0.00017806,             0.00017806
                     16,                 1.8206,                0.94127,                 1.1913,                0.70297,                0.63579,                 0.6586,                0.31243,                 1.9399,                 1.5122,                 1.0729,             0.00015965,             0.00015965,             0.00015965
                     17,                 1.9657,                0.90465,                 1.1165,                0.72122,                0.64842,                0.69728,                0.33565,                 1.9102,                 1.3574,                 1.0659,             0.00013728,             0.00013728,             0.00013728
                     18,                 1.6391,                0.80615,                 1.0889,                0.72664,                0.62947,                0.69758,                0.34162,                 1.8642,                 1.2611,                 1.0523,             0.00011095,             0.00011095,             0.00011095
                     19,                 1.6689,                0.84523,                 1.1176,                0.71155,                0.61053,                0.67533,                0.33604,                  1.848,                 1.2551,                 1.0463,              8.066e-05,              8.066e-05,              8.066e-05
                     20,                  1.782,                 1.5967,                 1.4185,                0.71444,                  0.611,                0.67972,                0.34095,                 1.8246,                 1.2064,                 1.0395,              4.641e-05,              4.641e-05,              4.641e-05
