                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9567,                 5.2878,                 3.5517,                 3.6439,                0.34329,                0.05785,                0.03001,                0.00952,                0.34775,                0.05724,                0.03121,                0.00958,                 3.2623,                 4.0458,                 3.0448,                 3.1006,             0.00030194,             0.00030194,             0.00030194
                      1,                 2.9186,                 3.7539,                  2.548,                  2.539,                0.19221,                0.16905,                0.12684,                0.04903,                0.19393,                0.15563,                0.11986,                0.04376,                 2.5647,                 3.3028,                 2.3497,                 2.2226,             0.00060254,             0.00060254,             0.00060254
                      2,                 2.4258,                 3.2638,                 2.0913,                 2.0265,                0.28721,                0.23051,                0.19696,                0.08367,                0.27258,                0.21272,                 0.1762,                0.06545,                 2.1738,                 2.9399,                 2.1226,                 1.8415,             0.00090075,             0.00090075,             0.00090075
                      3,                 2.1593,                 2.9953,                  1.853,                 1.7728,                  0.516,                0.28103,                0.26822,                  0.126,                 0.5147,                0.26832,                0.25456,                0.10497,                 1.9612,                 2.6718,                 1.7797,                 1.6673,              0.0008982,              0.0008982,              0.0008982
                      4,                 1.9949,                  2.799,                  1.699,                 1.6186,                0.56725,                0.30704,                0.31546,                0.15655,                0.55636,                0.28218,                0.28983,                0.12287,                 1.8014,                 2.5064,                 1.5648,                 1.5526,              0.0008982,              0.0008982,              0.0008982
                      5,                 1.8972,                 2.6873,                 1.5989,                 1.5275,                0.59102,                0.32744,                0.34098,                 0.1717,                0.57978,                0.30888,                0.32554,                0.14117,                 1.7292,                 2.4158,                 1.5097,                  1.477,              0.0008946,              0.0008946,              0.0008946
                      6,                  1.789,                 2.5466,                 1.4968,                 1.4511,                0.61704,                0.35472,                 0.3745,                0.19614,                0.60002,                0.33207,                 0.3477,                0.15684,                 1.6387,                 2.2977,                 1.4398,                 1.4054,               0.000891,               0.000891,               0.000891
                      7,                 1.7176,                 2.4611,                 1.4253,                 1.3936,                0.63897,                0.36362,                0.39377,                0.21172,                  0.623,                0.34171,                0.36716,                0.16842,                 1.5717,                 2.2262,                 1.3224,                 1.3693,              0.0008874,              0.0008874,              0.0008874
                      8,                 1.6679,                 2.3979,                 1.3856,                 1.3596,                0.64802,                0.37868,                0.41123,                0.22672,                0.63569,                0.35622,                0.38689,                0.17793,                 1.5298,                 2.1814,                  1.286,                 1.3307,              0.0008838,              0.0008838,              0.0008838
                      9,                  1.618,                 2.3245,                 1.3288,                 1.3221,                 0.6703,                0.39008,                0.42671,                 0.2352,                0.65123,                0.36797,                0.39908,                0.18853,                  1.503,                 2.1185,                 1.2273,                 1.2988,              0.0008802,              0.0008802,              0.0008802
                     10,                 1.5713,                 2.2657,                  1.282,                 1.2909,                0.50772,                 0.4113,                0.43481,                0.23893,                0.48648,                0.37926,                0.39812,                0.18547,                 1.4964,                 2.1174,                 1.2659,                 1.2794,              0.0008766,              0.0008766,              0.0008766
                     11,                 1.5329,                  2.208,                 1.2453,                 1.2612,                0.63407,                0.41408,                0.45315,                0.25511,                 0.6166,                0.38663,                0.41894,                0.19807,                 1.4208,                 2.0198,                 1.1712,                 1.2422,               0.000873,               0.000873,               0.000873
