                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2265,                 1.6151,                 1.2741,                0.64498,                0.53262,                0.61432,                0.45607,                 1.0817,                 1.1202,                 1.1248,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2231,                 1.5107,                 1.2664,                0.68426,                0.54209,                0.63148,                0.46945,                 1.0794,                 1.0961,                 1.1237,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.2004,                 1.4193,                 1.2162,                0.68864,                0.55301,                0.64342,                0.47886,                 1.0765,                 1.0733,                 1.1227,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.2357,                 1.4696,                 1.2508,                0.69452,                0.57416,                 0.6552,                0.49015,                 1.0671,                 1.0506,                  1.114,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1503,                 1.2766,                 1.2151,                0.69761,                0.60601,                0.67572,                0.50584,                 1.0517,                 1.0296,                 1.1037,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1104,                 1.3098,                 1.1922,                0.70268,                0.62941,                0.69051,                0.51467,                  1.038,                 1.0005,                 1.0926,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1131,                  1.168,                 1.1906,                0.73434,                 0.6465,                0.69401,                0.51897,                 1.0313,                0.97563,                 1.0899,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1258,                  1.181,                 1.1988,                0.72448,                 0.6658,                0.70178,                0.52885,                 1.0266,                 0.9422,                  1.089,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0538,                 1.1015,                 1.1484,                0.73072,                0.64239,                0.71115,                0.53553,                 1.0167,                0.91679,                 1.0822,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0813,                  1.159,                 1.1894,                0.71917,                0.65131,                0.71768,                0.54114,                 1.0143,                0.90406,                 1.0805,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0465,                 1.0753,                  1.147,                0.73346,                0.66919,                0.72825,                0.55444,                 1.0094,                 0.8832,                 1.0757,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.1035,                 1.1226,                 1.1939,                0.77056,                0.67967,                0.73608,                0.56154,                 1.0078,                0.86926,                 1.0724,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0457,                 1.0582,                 1.1484,                0.76855,                0.69159,                0.74768,                0.57149,                  1.003,                0.84608,                 1.0693,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0268,                 1.0627,                 1.1612,                0.80143,                0.67877,                0.75941,                0.57987,                0.99374,                0.82781,                 1.0649,             0.00010486,             0.00010486,             0.00010486
                     15,                0.99173,                0.99907,                 1.1358,                0.81302,                0.67386,                0.76465,                0.58959,                 0.9862,                0.81458,                 1.0621,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0283,                 1.0063,                 1.1343,                0.82844,                0.65808,                0.76596,                0.58957,                0.97719,                0.80395,                 1.0558,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0594,                 1.0439,                 1.1504,                 0.8377,                0.66543,                0.78117,                0.59986,                0.96845,                0.79064,                  1.051,             0.00010133,             0.00010133,             0.00010133
                     18,                  1.074,                0.99241,                 1.1308,                0.76176,                0.72238,                0.78525,                0.61095,                 0.9617,                0.78217,                  1.046,             0.00010015,             0.00010015,             0.00010015
                     19,                0.97178,                0.93776,                 1.1219,                0.84632,                0.70172,                0.79463,                0.62089,                0.95031,                0.77164,                 1.0398,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                 1.0136,                0.98442,                 1.1395,                  0.856,                0.70245,                0.79689,                0.62661,                0.93047,                0.75133,                 1.0305,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 1.0246,                0.92408,                 1.1277,                0.86127,                0.70767,                0.80636,                0.63683,                0.91711,                0.73243,                 1.0244,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.0099,                0.91019,                 1.1085,                0.85133,                0.71477,                 0.8097,                0.64068,                0.90969,                0.71734,                 1.0215,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                0.99586,                0.93587,                  1.142,                0.85115,                0.72154,                0.81306,                0.64077,                0.90513,                0.70922,                 1.0187,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                 0.9906,                0.93953,                 1.1111,                0.84208,                0.73163,                0.82128,                0.64179,                0.90054,                0.70293,                 1.0158,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.96843,                0.88265,                 1.1085,                0.81098,                0.75998,                0.82248,                0.64086,                0.89899,                0.70233,                 1.0133,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                 1.0041,                0.92829,                 1.1112,                0.77543,                0.77809,                0.82059,                0.63967,                0.90314,                0.70513,                 1.0135,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.97146,                 0.8965,                 1.1118,                0.80635,                0.74693,                0.82471,                0.64455,                0.89309,                 0.6975,                 1.0076,             8.9547e-05,             8.9547e-05,             8.9547e-05
