                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3129,                 1.7604,                 1.0502,                0.45512,                0.29214,                0.31426,                0.19051,                 1.2607,                 1.3174,                 1.0435,             0.00033226,             0.00033226,             0.00033226
                      2,                 1.2474,                 1.2015,                   1.03,                0.63186,                0.29296,                0.31698,                0.19615,                 1.2552,                 1.2364,                 1.0559,             0.00065901,             0.00065901,             0.00065901
                      3,                 1.2299,                 1.1002,                 1.0287,                0.42748,                 0.3173,                0.32554,                0.20112,                  1.241,                  1.175,                 1.0573,             0.00097915,             0.00097915,             0.00097915
                      4,                 1.2159,                  1.039,                 1.0289,                0.66097,                0.32211,                0.36958,                0.22936,                 1.2254,                 1.1156,                  1.051,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1885,                0.98097,                 1.0184,                0.63303,                0.34114,                0.36465,                0.22224,                 1.2086,                 1.0758,                 1.0397,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.1635,                0.94366,                 1.0077,                0.65495,                0.33436,                  0.376,                0.23106,                 1.2282,                 1.0797,                 1.0427,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.1643,                0.93001,                 1.0069,                0.53482,                0.36089,                0.39651,                0.24428,                 1.1774,                 1.0115,                 1.0304,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.1434,                0.90868,                 1.0023,                  0.546,                0.35731,                 0.3938,                0.24486,                 1.1939,                 1.0601,                 1.0321,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.1368,                0.89049,                0.99792,                0.58291,                0.37528,                0.40466,                0.25155,                 1.1631,                 1.0117,                 1.0268,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.1226,                0.87591,                0.99309,                0.53264,                0.35923,                0.38399,                0.23908,                 1.1986,                 1.0557,                 1.0448,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.1143,                0.86006,                0.98873,                0.53676,                0.35949,                0.38665,                0.24063,                 1.1825,                 1.0086,                 1.0304,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.0978,                0.84307,                0.98567,                0.57493,                0.36823,                0.40899,                0.25741,                 1.1526,                0.95967,                 1.0202,               0.000901,               0.000901,               0.000901
                     13,                 1.0918,                0.82837,                0.98433,                0.64574,                0.35289,                0.40839,                0.25732,                  1.157,                0.96295,                 1.0191,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.0946,                0.83644,                0.98446,                0.62873,                0.36506,                0.41696,                0.25988,                 1.1514,                0.95861,                 1.0152,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.0821,                 0.8181,                0.98188,                0.54868,                0.37117,                0.41438,                0.25698,                 1.1477,                0.95404,                 1.0144,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.0806,                0.81546,                0.97803,                0.51038,                0.37812,                0.40637,                0.25731,                 1.1429,                0.94576,                  1.015,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.0786,                0.80476,                0.97547,                0.60067,                0.36289,                0.41723,                0.26455,                 1.1433,                0.97662,                 1.0151,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.0675,                0.79512,                0.97354,                0.57389,                0.38202,                0.42166,                0.26841,                 1.1305,                0.94131,                 1.0145,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.0659,                0.78821,                0.97057,                0.60363,                0.38524,                0.43177,                0.27127,                 1.1347,                0.93249,                 1.0101,              0.0008317,              0.0008317,              0.0008317
                     20,                   1.06,                0.78842,                0.97156,                0.57803,                0.38048,                0.42465,                  0.269,                 1.1339,                0.94652,                 1.0126,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.0517,                0.77771,                0.96618,                0.58356,                0.38349,                0.43281,                0.27266,                 1.1296,                0.92334,                 1.0103,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.0535,                0.77853,                0.96697,                0.66739,                0.37796,                 0.4352,                0.27381,                 1.1145,                0.91369,                 1.0083,               0.000802,               0.000802,               0.000802
                     23,                 1.0512,                0.77426,                0.96453,                0.60911,                0.38478,                0.43799,                0.27777,                 1.1113,                0.92083,                 1.0142,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.0409,                0.76636,                0.96255,                0.56972,                0.38896,                0.43472,                0.27631,                  1.097,                0.88134,                 1.0058,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.0337,                0.75456,                0.96243,                0.55485,                0.40875,                0.44153,                0.27853,                 1.1104,                0.88045,                 1.0053,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.0288,                0.75222,                0.96078,                0.62263,                0.37782,                0.43442,                0.27593,                 1.1157,                0.90067,                 1.0115,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.0321,                0.75176,                 0.9621,                0.61647,                0.40214,                0.45097,                 0.2847,                 1.1129,                0.88088,                 1.0078,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.0169,                0.73598,                0.95475,                  0.597,                0.40492,                0.45533,                0.28974,                  1.092,                 0.8572,                0.99849,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.0259,                0.74319,                0.95495,                0.58637,                0.39749,                0.44526,                0.28205,                 1.1102,                0.89571,                 1.0108,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.0193,                0.74056,                0.95561,                0.57875,                0.39121,                0.42557,                0.27126,                 1.1007,                0.89253,                 1.0094,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.0132,                0.72755,                0.95261,                0.61299,                0.38412,                0.44274,                0.28197,                 1.0934,                0.87291,                0.99988,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.0131,                0.72741,                0.95079,                0.58683,                0.39638,                0.44038,                0.28293,                 1.0927,                0.87978,                0.99914,               0.000703,               0.000703,               0.000703
